id_pesquisa,ano,sigla_uf,nome_municipio,cargo,data,data_referencia,instituto,contratante,orgao_registro,numero_registro,quantidade_entrevistas,margem_mais,margem_menos,tipo,turno,tipo_voto,id_cenario,descricao_cenario,id_candidato_poder360,nome_candidato,sigla_partido,condicao,percentual
8023,2006,,,presidente,2006-09-19,18-19.set.06,Datafolha,,,,,2.0,2.0,estimulada,1,votos totais,20265,cenário único - estimulado,97,Ana Maria Rangel,PRP,0,0.0
8023,2006,,,presidente,2006-09-19,18-19.set.06,Datafolha,,,,,2.0,2.0,estimulada,1,votos totais,20265,cenário único - estimulado,806,Eymael,PSDC,0,0.0
8023,2006,,,presidente,2006-09-19,18-19.set.06,Datafolha,,,,,2.0,2.0,estimulada,1,votos totais,20265,cenário único - estimulado,938,Luciano Bivar,PSL,0,0.0
8023,2006,,,presidente,2006-09-19,18-19.set.06,Datafolha,,,,,2.0,2.0,estimulada,1,votos totais,20265,cenário único - estimulado,678,indeciso / não sabe / não respondeu,N/A,1,9.0
8023,2006,,,presidente,2006-09-19,18-19.set.06,Datafolha,,,,,2.0,2.0,estimulada,1,votos totais,20265,cenário único - estimulado,645,Heloísa Helena,Psol,0,9.0
8023,2006,,,presidente,2006-09-19,18-19.set.06,Datafolha,,,,,2.0,2.0,estimulada,1,votos totais,20265,cenário único - estimulado,1508,Rui Costa Pimenta,PCO,0,0.0
8023,2006,,,presidente,2006-09-19,18-19.set.06,Datafolha,,,,,2.0,2.0,estimulada,1,votos totais,20265,cenário único - estimulado,327,Cristovam Buarque,PDT,0,2.0
8023,2006,,,presidente,2006-09-19,18-19.set.06,Datafolha,,,,,2.0,2.0,estimulada,1,votos totais,20265,cenário único - estimulado,575,Alckmin,PSDB,0,29.0
8023,2006,,,presidente,2006-09-19,18-19.set.06,Datafolha,,,,,2.0,2.0,estimulada,1,votos totais,20265,cenário único - estimulado,973,Lula,PT,0,50.0
8028,2006,,,presidente,2006-08-29,29.ago.06,Datafolha,,TSE,14772/2006,,2.0,2.0,estimulada,1,votos totais,20270,cenário único - estimulado,806,Eymael,PSDC,0,0.0
8028,2006,,,presidente,2006-08-29,29.ago.06,Datafolha,,TSE,14772/2006,,2.0,2.0,estimulada,1,votos totais,20270,cenário único - estimulado,212,branco / nulo / indeciso / nenhum,N/A,1,12.0
8028,2006,,,presidente,2006-08-29,29.ago.06,Datafolha,,TSE,14772/2006,,2.0,2.0,estimulada,1,votos totais,20270,cenário único - estimulado,327,Cristovam Buarque,PDT,0,1.0
8028,2006,,,presidente,2006-08-29,29.ago.06,Datafolha,,TSE,14772/2006,,2.0,2.0,estimulada,1,votos totais,20270,cenário único - estimulado,938,Luciano Bivar,PSL,0,0.0
8028,2006,,,presidente,2006-08-29,29.ago.06,Datafolha,,TSE,14772/2006,,2.0,2.0,estimulada,1,votos totais,20270,cenário único - estimulado,973,Lula,PT,0,50.0
8028,2006,,,presidente,2006-08-29,29.ago.06,Datafolha,,TSE,14772/2006,,2.0,2.0,estimulada,1,votos totais,20270,cenário único - estimulado,1508,Rui Costa Pimenta,PCO,0,0.0
8028,2006,,,presidente,2006-08-29,29.ago.06,Datafolha,,TSE,14772/2006,,2.0,2.0,estimulada,1,votos totais,20270,cenário único - estimulado,575,Alckmin,PSDB,0,27.0
8028,2006,,,presidente,2006-08-29,29.ago.06,Datafolha,,TSE,14772/2006,,2.0,2.0,estimulada,1,votos totais,20270,cenário único - estimulado,645,Heloísa Helena,Psol,0,10.0
8034,2006,,,presidente,2006-07-12,8-12.jul.06,Vox Populi,,TSE,10736/2006,,2.2,2.2,estimulada,1,votos totais,20276,cenário único - estimulado,1508,Rui Costa Pimenta,PCO,0,0.0
8034,2006,,,presidente,2006-07-12,8-12.jul.06,Vox Populi,,TSE,10736/2006,,2.2,2.2,estimulada,1,votos totais,20276,cenário único - estimulado,575,Alckmin,PSDB,0,32.0
8034,2006,,,presidente,2006-07-12,8-12.jul.06,Vox Populi,,TSE,10736/2006,,2.2,2.2,estimulada,1,votos totais,20276,cenário único - estimulado,645,Heloísa Helena,Psol,0,7.0
8034,2006,,,presidente,2006-07-12,8-12.jul.06,Vox Populi,,TSE,10736/2006,,2.2,2.2,estimulada,1,votos totais,20276,cenário único - estimulado,327,Cristovam Buarque,PDT,0,1.0
8034,2006,,,presidente,2006-07-12,8-12.jul.06,Vox Populi,,TSE,10736/2006,,2.2,2.2,estimulada,1,votos totais,20276,cenário único - estimulado,806,Eymael,PSDC,0,0.0
8034,2006,,,presidente,2006-07-12,8-12.jul.06,Vox Populi,,TSE,10736/2006,,2.2,2.2,estimulada,1,votos totais,20276,cenário único - estimulado,212,branco / nulo / indeciso / nenhum,N/A,1,18.0
8034,2006,,,presidente,2006-07-12,8-12.jul.06,Vox Populi,,TSE,10736/2006,,2.2,2.2,estimulada,1,votos totais,20276,cenário único - estimulado,938,Luciano Bivar,PSL,0,0.0
8034,2006,,,presidente,2006-07-12,8-12.jul.06,Vox Populi,,TSE,10736/2006,,2.2,2.2,estimulada,1,votos totais,20276,cenário único - estimulado,973,Lula,PT,0,42.0
8826,2010,,,congresso nacional,2010-03-26,25-26.mar.10,Datafolha,,,,,0.0,0.0,,1,votos totais,22340,"Pergunta: Você diria que os senadores e deputados federais que estão atualmente no Congresso estão tendo um desempenho ótimo, bom, regular, ruim ou péssimo?",5437,Regular,sem partido,1,41.0
8826,2010,,,congresso nacional,2010-03-26,25-26.mar.10,Datafolha,,,,,0.0,0.0,,1,votos totais,22340,"Pergunta: Você diria que os senadores e deputados federais que estão atualmente no Congresso estão tendo um desempenho ótimo, bom, regular, ruim ou péssimo?",5046,não sabe,sem partido,1,9.0
8826,2010,,,congresso nacional,2010-03-26,25-26.mar.10,Datafolha,,,,,0.0,0.0,,1,votos totais,22340,"Pergunta: Você diria que os senadores e deputados federais que estão atualmente no Congresso estão tendo um desempenho ótimo, bom, regular, ruim ou péssimo?",5440,Ótimo/Bom,sem partido,1,16.0
8826,2010,,,congresso nacional,2010-03-26,25-26.mar.10,Datafolha,,,,,0.0,0.0,,1,votos totais,22340,"Pergunta: Você diria que os senadores e deputados federais que estão atualmente no Congresso estão tendo um desempenho ótimo, bom, regular, ruim ou péssimo?",5441,Ruim/Péssimo,sem partido,1,33.0
9225,2019,,,presidente,2019-08-31,28-31.ago.2019,IBPAD,,,,,0.0,0.0,,1,votos totais,23137,avaliação do governo,5440,Ótimo/Bom,N/A,1,37.0
9225,2019,,,presidente,2019-08-31,28-31.ago.2019,IBPAD,,,,,0.0,0.0,,1,votos totais,23137,avaliação do governo,5441,Ruim/Péssimo,N/A,1,35.0
9225,2019,,,presidente,2019-08-31,28-31.ago.2019,IBPAD,,,,,0.0,0.0,,1,votos totais,23137,avaliação do governo,1210,não sabe / não respondeu,N/A,1,2.0
9225,2019,,,presidente,2019-08-31,28-31.ago.2019,IBPAD,,,,,0.0,0.0,,1,votos totais,23137,avaliação do governo,5437,Regular,N/A,1,26.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,estimulada,1,votos totais,23476,cenário 1 - estimulada - 1º turno,4818,Josan Leite,Patriota,0,2.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,estimulada,1,votos totais,23476,cenário 1 - estimulada - 1º turno,5669,Valéria Correia,Psol,0,2.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,estimulada,1,votos totais,23476,cenário 1 - estimulada - 1º turno,5670,Corintho Campelo,PMN,0,1.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,estimulada,1,votos totais,23476,cenário 1 - estimulada - 1º turno,5671,Cícero Filho,PC do B,0,1.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,estimulada,1,votos totais,23476,cenário 1 - estimulada - 1º turno,339,Cícero Almeida,DC,0,10.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,estimulada,1,votos totais,23476,cenário 1 - estimulada - 1º turno,3012,JHC,PSB,0,25.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,estimulada,1,votos totais,23476,cenário 1 - estimulada - 1º turno,5667,Davi Filho,PP,0,5.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,estimulada,1,votos totais,23476,cenário 1 - estimulada - 1º turno,5668,Lenilda Luna,UP,0,3.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,estimulada,1,votos totais,23476,cenário 1 - estimulada - 1º turno,1408,Ricardo Barbosa,PT,0,2.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,estimulada,1,votos totais,23476,cenário 1 - estimulada - 1º turno,4846,Alfredo Gaspar,MDB,0,26.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,rejeição,1,votos totais,23477,cenário 1 - rejeição - 1º turno,5668,Lenilda Luna,UP,0,13.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,rejeição,1,votos totais,23477,cenário 1 - rejeição - 1º turno,5667,Davi Filho,PP,0,12.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,rejeição,1,votos totais,23477,cenário 1 - rejeição - 1º turno,4846,Alfredo Gaspar,MDB,0,17.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,rejeição,1,votos totais,23477,cenário 1 - rejeição - 1º turno,339,Cícero Almeida,DC,0,49.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,rejeição,1,votos totais,23477,cenário 1 - rejeição - 1º turno,1408,Ricardo Barbosa,PT,0,12.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,rejeição,1,votos totais,23477,cenário 1 - rejeição - 1º turno,4818,Josan Leite,Patriota,0,12.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,rejeição,1,votos totais,23477,cenário 1 - rejeição - 1º turno,3012,JHC,PSB,0,21.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,rejeição,1,votos totais,23477,cenário 1 - rejeição - 1º turno,5669,Valéria Correia,Psol,0,11.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,rejeição,1,votos totais,23477,cenário 1 - rejeição - 1º turno,5670,Corintho Campelo,PMN,0,14.0
9382,2020,AL,Maceió,prefeito,2020-10-07,07-09.out.2020,Ibope,TV GAZETA DE ALAGOAS,TSE,AL-09340/2020,,4.0,4.0,rejeição,1,votos totais,23477,cenário 1 - rejeição - 1º turno,5671,Cícero Filho,PC do B,0,14.0
9404,2020,MT,Cuiabá,prefeito,2020-09-07,5-7.set.2020,Malujoa Comunicações,Malujoa Comunicações,TSE,MT-05388/2020,,4.0,4.0,estimulada,1,votos totais,23516,cenário 1 - estimulada - 1º turno,5724,Ulisses Moraes,PSL,0,0.5
9404,2020,MT,Cuiabá,prefeito,2020-09-07,5-7.set.2020,Malujoa Comunicações,Malujoa Comunicações,TSE,MT-05388/2020,,4.0,4.0,estimulada,1,votos totais,23516,cenário 1 - estimulada - 1º turno,5715,Abílio Júnior,Podemos,0,7.7
